image_name,predicted_count,actual_count,difference
devansh hindi _pages-to-jpg-0001.jpg,32,,
devansh hindi _pages-to-jpg-0001.jpg,32,,
devansh hindi _pages-to-jpg-0002.jpg,34,,
devansh hindi _pages-to-jpg-0002.jpg,34,,
devansh hindi _pages-to-jpg-0003.jpg,42,,
devansh hindi _pages-to-jpg-0003.jpg,42,,
devansh hindi _pages-to-jpg-0004.jpg,46,,
devansh hindi _pages-to-jpg-0004.jpg,46,,
devansh hindi _pages-to-jpg-0005.jpg,49,,
devansh hindi _pages-to-jpg-0005.jpg,49,,
devansh hindi _pages-to-jpg-0006.jpg,44,,
devansh hindi _pages-to-jpg-0006.jpg,44,,
devansh hindi _pages-to-jpg-0007.jpg,54,,
devansh hindi _pages-to-jpg-0007.jpg,54,,
devansh hindi _pages-to-jpg-0008.jpg,56,,
devansh hindi _pages-to-jpg-0008.jpg,56,,
devansh hindi _pages-to-jpg-0009.jpg,55,,
devansh hindi _pages-to-jpg-0009.jpg,55,,
devansh hindi _pages-to-jpg-0010.jpg,42,,
devansh hindi _pages-to-jpg-0010.jpg,42,,
devansh hindi _pages-to-jpg-0011.jpg,19,,
devansh hindi _pages-to-jpg-0011.jpg,19,,
devansh hindi _pages-to-jpg-0012.jpg,44,,
devansh hindi _pages-to-jpg-0012.jpg,44,,
devansh_compressed_page-0001.jpg,4,,
devansh_compressed_page-0001.jpg,4,,
devansh_compressed_page-0002.jpg,31,,
devansh_compressed_page-0002.jpg,31,,
devansh_compressed_page-0003.jpg,77,,
devansh_compressed_page-0003.jpg,77,,
devansh_compressed_page-0004.jpg,56,,
devansh_compressed_page-0004.jpg,56,,
devansh_compressed_page-0005.jpg,21,,
devansh_compressed_page-0005.jpg,21,,
devansh_compressed_page-0006.jpg,38,,
devansh_compressed_page-0006.jpg,38,,
devansh_compressed_page-0007.jpg,41,,
devansh_compressed_page-0007.jpg,41,,
devansh_compressed_page-0008.jpg,67,,
devansh_compressed_page-0008.jpg,67,,
devansh_compressed_page-0009.jpg,87,,
devansh_compressed_page-0009.jpg,87,,
devansh_compressed_page-0010.jpg,64,,
devansh_compressed_page-0010.jpg,64,,
devansh_compressed_page-0011.jpg,82,,
devansh_compressed_page-0011.jpg,82,,
devansh_compressed_page-0012.jpg,80,,
devansh_compressed_page-0012.jpg,80,,
devansh_compressed_page-0013.jpg,26,,
devansh_compressed_page-0013.jpg,26,,
devansh_compressed_page-0014.jpg,46,,
devansh_compressed_page-0014.jpg,46,,
devansh_compressed_page-0015.jpg,93,,
devansh_compressed_page-0015.jpg,93,,
devansh_compressed_page-0016.jpg,35,,
devansh_compressed_page-0016.jpg,35,,
devansh_compressed_page-0017.jpg,50,,
devansh_compressed_page-0017.jpg,50,,
devansh_compressed_page-0018.jpg,44,,
devansh_compressed_page-0018.jpg,44,,
devansh_compressed_page-0019.jpg,50,,
devansh_compressed_page-0019.jpg,50,,
devansh_compressed_page-0020.jpg,60,,
devansh_compressed_page-0020.jpg,60,,
devansh_compressed_page-0021.jpg,61,,
devansh_compressed_page-0021.jpg,61,,
devansh_compressed_page-0022.jpg,27,,
devansh_compressed_page-0022.jpg,27,,
devansh_compressed_page-0023.jpg,7,,
devansh_compressed_page-0023.jpg,7,,
devansh_compressed_page-0024.jpg,12,,
devansh_compressed_page-0024.jpg,12,,
devansh_compressed_page-0025.jpg,15,,
devansh_compressed_page-0025.jpg,15,,
devansh_compressed_page-0026.jpg,10,,
devansh_compressed_page-0026.jpg,10,,
devansh_compressed_page-0027.jpg,111,,
devansh_compressed_page-0027.jpg,111,,
devansh_compressed_page-0028.jpg,74,,
devansh_compressed_page-0028.jpg,74,,
devansh_compressed_page-0029.jpg,35,,
devansh_compressed_page-0029.jpg,35,,
devansh_compressed_page-0030.jpg,39,,
devansh_compressed_page-0030.jpg,39,,
devansh_compressed_page-0031.jpg,21,,
devansh_compressed_page-0031.jpg,21,,
devansh_compressed_page-0032.jpg,50,,
devansh_compressed_page-0032.jpg,50,,
devansh_compressed_page-0033.jpg,21,,
devansh_compressed_page-0033.jpg,21,,
devansh_compressed_page-0034.jpg,27,,
devansh_compressed_page-0034.jpg,27,,
devansh_compressed_page-0035.jpg,51,,
devansh_compressed_page-0035.jpg,51,,
devansh_compressed_page-0036.jpg,14,,
devansh_compressed_page-0036.jpg,14,,
devansh_compressed_page-0037.jpg,25,,
devansh_compressed_page-0037.jpg,25,,
devansh_compressed_page-0038.jpg,21,,
devansh_compressed_page-0038.jpg,21,,
devansh_compressed_page-0039.jpg,55,,
devansh_compressed_page-0039.jpg,55,,
devansh_compressed_page-0040.jpg,28,,
devansh_compressed_page-0040.jpg,28,,
devansh_compressed_page-0041.jpg,87,,
devansh_compressed_page-0041.jpg,87,,
devansh_compressed_page-0042.jpg,7,,
devansh_compressed_page-0042.jpg,7,,
devansh_compressed_page-0043.jpg,26,,
devansh_compressed_page-0043.jpg,26,,
devansh_compressed_page-0044.jpg,44,,
devansh_compressed_page-0044.jpg,44,,
devansh_compressed_page-0045.jpg,25,,
devansh_compressed_page-0045.jpg,25,,
devansh_compressed_page-0046.jpg,37,,
devansh_compressed_page-0046.jpg,37,,
devansh_compressed_page-0047.jpg,23,,
devansh_compressed_page-0047.jpg,23,,
devansh_compressed_page-0048.jpg,25,,
devansh_compressed_page-0048.jpg,25,,
devansh_compressed_page-0049.jpg,58,,
devansh_compressed_page-0049.jpg,58,,
devansh_compressed_page-0050.jpg,35,,
devansh_compressed_page-0050.jpg,35,,
devansh_compressed_page-0051.jpg,41,,
devansh_compressed_page-0051.jpg,41,,
devansh_compressed_page-0052.jpg,32,,
devansh_compressed_page-0052.jpg,32,,
devansh_compressed_page-0053.jpg,18,,
devansh_compressed_page-0053.jpg,18,,
devansh_compressed_page-0054.jpg,21,,
devansh_compressed_page-0054.jpg,21,,
devansh_compressed_page-0055.jpg,72,,
devansh_compressed_page-0055.jpg,72,,
dipika hindi_page-0001.jpg,80,,
dipika hindi_page-0001.jpg,80,,
dipika hindi_page-0002.jpg,87,,
dipika hindi_page-0002.jpg,87,,
dipika hindi_page-0003.jpg,28,,
dipika hindi_page-0003.jpg,28,,
dipika hindi_page-0004.jpg,82,,
dipika hindi_page-0004.jpg,82,,
dipika hindi_page-0005.jpg,106,,
dipika hindi_page-0005.jpg,106,,
dipika hindi_page-0006.jpg,63,,
dipika hindi_page-0006.jpg,63,,
dipika hindi_page-0007.jpg,27,,
dipika hindi_page-0007.jpg,27,,
dipika hindi_page-0008.jpg,26,,
dipika hindi_page-0008.jpg,26,,
dipika hindi_page-0009.jpg,23,,
dipika hindi_page-0009.jpg,23,,
dipika hindi_page-0010.jpg,54,,
dipika hindi_page-0010.jpg,54,,
dipika hindi_page-0011.jpg,75,,
dipika hindi_page-0011.jpg,75,,
dipika hindi_page-0012.jpg,69,,
dipika hindi_page-0012.jpg,69,,
dipika hindi_page-0013.jpg,75,,
dipika hindi_page-0013.jpg,75,,
dipika hindi_page-0014.jpg,62,,
dipika hindi_page-0014.jpg,62,,
dipika hindi_page-0015.jpg,30,,
dipika hindi_page-0015.jpg,30,,
dipika hindi_page-0016.jpg,89,,
dipika hindi_page-0016.jpg,89,,
dipika hindi_page-0017.jpg,32,,
dipika hindi_page-0017.jpg,32,,
dipika hindi_page-0018.jpg,65,,
dipika hindi_page-0018.jpg,65,,
dipika hindi_page-0019.jpg,50,,
dipika hindi_page-0019.jpg,50,,
dipika hindi_page-0020.jpg,59,,
dipika hindi_page-0020.jpg,59,,
dipika hindi_page-0021.jpg,78,,
dipika hindi_page-0021.jpg,78,,
dipika hindi_page-0022.jpg,17,,
dipika hindi_page-0022.jpg,17,,
dipika hindi_page-0023.jpg,59,,
dipika hindi_page-0023.jpg,59,,
dipika hindi_page-0024.jpg,25,,
dipika hindi_page-0024.jpg,25,,
dipika hindi_page-0025.jpg,65,,
dipika hindi_page-0025.jpg,65,,
dipika hindi_page-0026.jpg,58,,
dipika hindi_page-0026.jpg,58,,
dipika hindi_page-0027.jpg,58,,
dipika hindi_page-0027.jpg,58,,
dipika hindi_page-0028.jpg,46,,
dipika hindi_page-0028.jpg,46,,
dipika hindi_page-0029.jpg,18,,
dipika hindi_page-0029.jpg,18,,
dipika hindi_page-0030.jpg,82,,
dipika hindi_page-0030.jpg,82,,
dipika hindi_page-0031.jpg,56,,
dipika hindi_page-0031.jpg,56,,
