Image,Actual Words,Our Algorithm,Our Algorithm Error,Our Algorithm Error²,EasyOCR,EasyOCR Error,EasyOCR Error²,PaddleOCR,PaddleOCR Error,PaddleOCR Error²,Tesseract,Tesseract Error,Tesseract Error²
1.jpeg,124,142,18,324,111,-13,169,14,-110,12100,79,-45,2025
2.jpeg,124,136,12,144,102,-22,484,19,-105,11025,94,-30,900
3.jpeg,124,134,10,100,100,-24,576,26,-98,9604,128,4,16
4.jpeg,124,130,6,36,80,-44,1936,28,-96,9216,127,3,9
5.jpeg,124,130,6,36,79,-45,2025,31,-93,8649,121,-3,9
6.jpeg,124,127,3,9,69,-55,3025,26,-98,9604,120,-4,16
7.jpeg,124,130,6,36,68,-56,3136,26,-98,9604,121,-3,9
8.jpeg,124,129,5,25,63,-61,3721,31,-93,8649,117,-7,49
9.jpeg,124,132,8,64,71,-53,2809,30,-94,8836,110,-14,196
10.jpeg,124,133,9,81,79,-45,2025,30,-94,8836,109,-15,225
11.jpeg,124,131,7,49,78,-46,2116,39,-85,7225,120,-4,16
12.jpeg,124,129,5,25,104,-20,400,20,-104,10816,8,-116,13456
13.jpeg,124,128,4,16,84,-40,1600,63,-61,3721,90,-34,1156
14.jpeg,124,126,2,4,66,-58,3364,16,-108,11664,91,-33,1089
15.jpeg,124,125,1,1,51,-73,5329,17,-107,11449,103,-21,441
16.jpeg,124,123,-1,1,52,-72,5184,17,-107,11449,87,-37,1369
17.jpeg,124,122,-2,4,50,-74,5476,26,-98,9604,90,-34,1156
18.jpeg,124,122,-2,4,50,-74,5476,26,-98,9604,90,-34,1156
19.jpeg,124,120,-4,16,50,-74,5476,14,-110,12100,89,-35,1225
20.jpeg,124,122,-2,4,56,-68,4624,38,-86,7396,95,-29,841
21.jpeg,124,125,1,1,64,-60,3600,24,-100,10000,96,-28,784
22.jpeg,124,135,11,121,111,-13,169,28,-96,9216,68,-56,3136
23.jpeg,124,132,8,64,105,-19,361,25,-99,9801,121,-3,9
24.jpeg,124,127,3,9,92,-32,1024,29,-95,9025,122,-2,4
25.jpeg,124,128,4,16,69,-55,3025,34,-90,8100,119,-5,25
26.jpeg,124,125,1,1,65,-59,3481,33,-91,8281,122,-2,4
27.jpeg,124,128,4,16,66,-58,3364,44,-80,6400,111,-13,169
28.jpeg,124,123,-1,1,78,-46,2116,47,-77,5929,109,-15,225
29.jpeg,124,135,11,121,81,-43,1849,51,-73,5329,96,-28,784
30.jpeg,124,129,5,25,85,-39,1521,47,-77,5929,99,-25,625
31.jpeg,124,131,7,49,87,-37,1369,41,-83,6889,96,-28,784
32.jpeg,125,122,-3,9,87,-38,1444,23,-102,10404,47,-78,6084
33.jpeg,125,138,13,169,90,-35,1225,16,-109,11881,103,-22,484
34.jpeg,125,135,10,100,56,-69,4761,19,-106,11236,115,-10,100
35.jpeg,125,130,5,25,56,-69,4761,18,-107,11449,123,-2,4
36.jpeg,125,138,13,169,48,-77,5929,20,-105,11025,122,-3,9
37.jpeg,125,137,12,144,54,-71,5041,23,-102,10404,116,-9,81
38.jpeg,125,132,7,49,63,-62,3844,24,-101,10201,119,-6,36
39.jpeg,125,132,7,49,70,-55,3025,20,-105,11025,104,-21,441
40.jpeg,125,140,15,225,76,-49,2401,43,-82,6724,117,-8,64
41.jpeg,125,141,16,256,81,-44,1936,21,-104,10816,121,-4,16
42.jpeg,122,129,7,49,104,-18,324,81,-41,1681,73,-49,2401
43.jpeg,122,99,-23,529,86,-36,1296,20,-102,10404,103,-19,361
44.jpeg,122,117,-5,25,69,-53,2809,85,-37,1369,90,-32,1024
45.jpeg,122,114,-8,64,61,-61,3721,101,-21,441,103,-19,361
46.jpeg,122,118,-4,16,65,-57,3249,81,-41,1681,97,-25,625
47.jpeg,122,114,-8,64,63,-59,3481,76,-46,2116,99,-23,529
48.jpeg,122,96,-26,676,64,-58,3364,86,-36,1296,96,-26,676
49.jpeg,122,109,-13,169,62,-60,3600,104,-18,324,89,-33,1089
